PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
RJL,Agoncillo,42.46055,-2.32054,Logrono,Y
RJN,Rafsanjan,30.29749,56.05083,Rafsanjan,Y
RKS,Sweetwater County,41.59471,-109.06542,Rock Springs,Y
RKT,Ras al Khaimah International,25.61361,55.93888,Ras al Khaimah,Y
RLG,Laage,53.91805,12.27833,Rostock,Y
RMA,Roma,-26.54499,148.77471,Roma,Y
RMF,Marsa Alam International,25.55722,34.5836,Marsa Alam,Y
RMI,Miramare,44.01943,12.60944,Rimini,Y
RMT,Rimatara,-22.63728,-152.80519,Rimatara,Y
RNA,Ulawa Airport,-9.86083,161.97971,Arona,Y
RNI,Corn Island,12.1734,-83.06011,Corn Island,Y
RNL,Tigoa,-11.55108,160.06382,Rennell Island,Y
RNN,Ronne,55.06306,14.76006,Bornholm,Y
RNO,Reno/Tahoe International,39.49916,-119.76804,Reno,Y
ROA,Regional (Woodrum Fld),37.32554,-79.97554,Roanoke,Y
EUQ,Evelio Javier,10.76766,121.93245,Antique,Y
ELM,Elmira/Corning Regional,42.16,-76.89166,Elmira/Corning,Y
ELQ,Gassim,26.30277,43.77388,Gassim,Y
ELS,East London,-33.03555,27.82582,East London,Y
ELU,Guemar,33.51267,6.78263,El Oued,Y
ELV,Elfin Cove,58.19527,-136.34749,Elfin Cove,Y
EMD,Emerald,-23.56997,148.17768,Emerald,Y
EMK,Emmonak,62.7861,-164.49083,Emmonak,Y
ENA,Kenai Municipal,60.57304,-151.24499,Kenai,Y
ENE,H.Hasan Aroeboesman,-8.84916,121.66055,Ende,Y
ENH,Xujiaping,30.3211,109.48527,Enshi,Y
ENU,Akanu Ibiam Intl,6.47416,7.56194,Enugu,Y
ENW,Kenosha Regional,42.59583,-87.92777,Kenosha,Y
ENY,Nanniwan,36.63666,109.55333,Yan'an,Y
EPR,Esperance,-33.68215,121.82226,Esperance,Y
EQS,Esquel,-42.90388,-71.13555,Esquel,Y
ERC,Erzincan,39.71027,39.52693,Erzincan,Y
ERF,Erfurt-Weimar,50.97971,10.95805,Erfurt,Y
ERH,Moulay Ali Cherif,31.94689,-4.39884,Errachidia,Y
ERI,Erie International,42.08193,-80.1761,Erie,Y
ERZ,Erzurum,39.95638,41.17027,Erzurum,Y
ESL,Elista,46.37388,44.33082,Elista,Y
ESU,Mogador,31.39749,-9.68166,Essaouira,Y
IBR,Ibaraki,36.17833,140.41805,Ibaraki,Y
EUG,Mahlon Sweet Field,44.12471,-123.21194,Eugene,Y
EUN,Hassan,27.15166,-13.21916,Laayoune,Y
